Date,"Cushing, OK Crude Oil Future Contract ($/Bar.)",U.S. Field Production of Crude Oil (1k Bar.),Product Supplied of Crude Oil and Petroleum Products (1k Bar.),Gross Inputs to Refineries (1k Bar./Day),Operable Crude Oil Distillation Capacity (1k Bar./Calendar Day),Operating Crude Oil Distillation Capacity (1k Bar./Day),Idle Crude Oil Distillation Capacity (1k Bar./Day),Percent Utilization of Refinery Operable Capacity,"Cushing, OK WTI Spot Price FOB ($/Bar.)"
5/1/2010,74.1,167427,585109,15510,17589,16872,716,88.2,73.7
6/1/2010,75.4,161385,586854,15893,17523,17050,473,90.7,75.3
7/1/2010,76.4,164234,598019,16040,17594,17159,434,91.2,76.3
8/1/2010,76.7,168867,609559,15681,17594,17020,573,89.1,76.6
9/1/2010,75.5,168473,583937,15213,17594,16966,628,86.5,75.2
10/1/2010,81.9,174547,586761,14466,17528,16849,678,82.5,81.9
11/1/2010,84.3,167272,568963,15166,17528,16644,883,86.5,84.3
12/1/2010,89.2,173831,611718,15555,17594,16949,645,88.4,89.1
1/1/2011,89.6,170393,586949,15035,17736,16937,799,84.8,89.2
2/1/2011,89.7,151354,526890,14195,17736,16904,833,80,88.6
3/1/2011,103,174158,594866,14963,17736,17032,704,84.4,102.9
4/1/2011,110,166858,557445,14710,17736,17006,730,82.9,109.5
5/1/2011,101.4,174363,571295,15129,17736,17052,684,85.3,100.9
6/1/2011,96.3,167673,575614,15778,17736,17122,614,89,96.3
7/1/2011,97.3,168635,580019,16001,17736,17246,491,90.2,97.3
8/1/2011,86.3,175618,600253,16009,17736,17109,627,90.3,86.3
9/1/2011,85.6,168411,566597,15735,17736,17208,529,88.7,85.5
10/1/2011,86.4,182977,583322,15050,17736,16816,921,84.9,86.3
11/1/2011,97.2,181157,571763,15426,17730,16487,1244,87,97.2
12/1/2011,98.6,189487,581847,15341,17740,16958,782,86.5,98.6
1/1/2012,100.3,191439,567256,14865,17367,16789,578,85.6,100.3
2/1/2012,102.3,181759,540040,15019,17367,16755,612,86.5,102.2
3/1/2012,106.2,196116,562017,14783,17275,16509,766,85.6,106.2
4/1/2012,103.3,189590,544879,14952,17275,16713,562,86.6,103.3
5/1/2012,94.7,197441,575812,15657,17275,16541,735,90.6,94.7
6/1/2012,82.4,188255,566197,15983,17275,16980,295,92.5,82.3
7/1/2012,87.9,199361,574746,15991,17291,17054,237,92.5,87.9
8/1/2012,94.2,196854,593330,15679,17211,16881,330,91.1,94.1
9/1/2012,94.6,197923,542427,15248,17400,15917,1483,87.6,94.5
10/1/2012,89.6,216041,579946,15153,17402,16679,723,87.1,89.5
11/1/2012,86.7,212424,555853,15416,17408,16434,974,88.6,86.5
12/1/2012,88.2,220259,562037,15717,17391,16610,782,90.4,87.9
1/1/2013,94.8,219590,580809,14934,17823,16775,1048,83.8,94.8
2/1/2013,95.3,200376,522308,14542,17814,16851,963,81.6,95.3
3/1/2013,93,223674,574970,14907,17814,16921,893,83.7,92.9
4/1/2013,92.1,221261,557828,15282,17814,17005,809,85.8,92
5/1/2013,94.8,227152,580719,15714,17815,17228,587,88.2,94.5
6/1/2013,95.8,218381,564479,16313,17815,17239,576,91.6,95.8
7/1/2013,104.7,233238,597058,16483,17818,17452,365,92.5,104.7
8/1/2013,106.5,233609,593334,16291,17820,17444,376,91.4,106.6
9/1/2013,106.2,235183,578447,16157,17820,17625,195,90.7,106.3
10/1/2013,100.6,240594,599006,15475,17820,17578,242,86.8,100.5
